eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
e036e4af,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:18:32+00:00,2024-05-31 13:21:27+00:00,5
e25a5ebd,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:50:29+00:00,2024-08-19 18:55:40+00:00,10
e6227e81,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-05-31 13:46:23+00:00,2024-05-31 13:46:53+00:00,2
e75af42f,665938b4a122a53b9a6eb5b6,Nycticorax nycticorax,2024-06-25 01:07:56+00:00,2024-06-25 01:07:56+00:00,1
e9ced779,665938b4a122a53b9a6eb5b6,Sturnus vulgaris,2024-08-12 12:16:06+00:00,2024-08-12 12:16:06+00:00,1
e9d03045,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-18 08:48:08+00:00,2023-12-18 08:48:08+00:00,1
ea204fc7,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2024-01-13 16:33:07+00:00,2024-01-13 16:33:07+00:00,1
ea820b4c,665938b4a122a53b9a6eb5b6,Sciurus niger,2023-12-15 10:55:30+00:00,2023-12-15 10:55:30+00:00,1
eb977cae,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-04-23 22:06:55+00:00,2024-04-23 22:08:30+00:00,4
f2976cc5,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-05-30 08:26:21+00:00,2024-05-30 08:26:22+00:00,2
f7d24378,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-06-09 19:41:57+00:00,2024-06-09 19:41:57+00:00,1
fb414101,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-12 11:13:46+00:00,2023-12-12 11:13:46+00:00,1
fcc8bef9,665938b4a122a53b9a6eb5b6,Setophaga,2023-12-18 04:26:08+00:00,2023-12-18 04:26:08+00:00,1
fd20ffc3,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-01-13 16:41:23+00:00,2024-01-13 16:41:28+00:00,2
